Clock,Time of arrival (secs),Base Station No. 
8:00,1.24,11
8:00,1.91,8
8:00,3.05,11
8:00,4.35,12
8:00,5.28,15
8:00,5.74,11
8:00,8.04,0
8:00,8.29,11
8:00,8.88,3
8:00,10.21,13
8:00,11.65,8
8:00,12.01,15
8:00,13.11,11
8:00,13.24,9
8:00,14.25,16
8:00,15.27,8
8:00,15.48,14
8:00,15.78,15
8:00,16.22,16
8:00,16.71,15
8:00,18.44,4
8:00,21.07,12
8:00,21.45,4
8:00,23.68,14
8:00,24.85,19
8:00,29.95,13
8:00,30.69,12
8:00,35.22,11
8:00,37,15
8:00,39.52,2
8:00,43.47,18
8:00,43.95,3
8:00,45.55,14
8:00,46.97,0
8:00,49.17,13
8:00,50.13,15
8:00,51.3,14
8:00,52.5,13
8:00,57.86,10
8:00,58.43,7
8:00,58.44,17
8:00,58.66,3
8:00,58.81,2
8:00,59.01,7
8:00,59.94,4
8:01,60.16,2
8:01,60.73,17
8:01,60.93,13
8:01,62.53,9
8:01,66.3,18
8:01,66.35,7
8:01,66.5,19
8:01,67.29,12
8:01,68.46,1
8:01,69.41,19
8:01,72.24,6
8:01,72.28,4
8:01,73.8,8
8:01,74.53,7
8:01,77.15,12
8:01,79.56,19
8:01,79.68,11
8:01,80.15,1
8:01,80.49,19
8:01,81.35,2
8:01,82.11,15
8:01,83.32,4
8:01,89.72,3
8:01,93.06,9
8:01,95.41,15
8:01,95.53,15
8:01,97.61,16
8:01,98.09,18
8:01,100.63,1
8:01,101.33,4
8:01,103.38,13
8:01,105.25,2
8:01,106.81,13
8:01,110.69,17
8:01,110.77,16
8:01,113.53,3
8:01,114.72,1
8:01,116.73,16
8:01,117.24,5
8:01,117.8,15
8:02,121.59,2
8:02,121.82,5
8:02,125.07,3
8:02,125.36,6
8:02,128.71,15
8:02,131.47,11
8:02,132.22,15
8:02,133.06,6
8:02,133.24,5
8:02,135.31,5
8:02,135.8,6
8:02,137.89,4
8:02,138.12,11
8:02,141.99,3
8:02,142,0
8:02,143.14,13
8:02,145.3,0
8:02,146.82,9
8:02,148.68,17
8:02,150.85,12
8:02,153.29,7
8:02,153.34,19
8:02,153.4,13
8:02,154.02,18
8:02,154.97,14
8:02,155.06,18
8:02,155.74,11
8:02,156.21,19
8:02,157.47,4
8:02,158.13,13
8:02,158.18,11
8:02,159.01,18
8:02,160.38,16
8:02,160.71,9
8:02,162.21,7
8:02,162.43,7
8:02,163.42,13
8:02,164.09,17
8:02,165.47,16
8:02,165.93,5
8:02,166.06,1
8:02,167.64,12
8:02,168.28,16
8:02,169.19,1
8:02,169.49,8
8:02,170.12,5
8:02,173.08,12
8:02,173.76,8
8:02,176.27,10
8:02,178.41,9
8:03,180.25,13
8:03,181.04,14
8:03,184.82,8
8:03,184.86,0
8:03,186.59,18
8:03,187.32,10
8:03,187.73,16
8:03,188.35,19
8:03,189.22,19
8:03,192.79,13
8:03,193.64,2
8:03,198.03,5
8:03,199.06,1
8:03,199.19,15
8:03,199.69,16
8:03,201.09,0
8:03,202.74,9
8:03,203.56,14
8:03,206.65,4
8:03,207.29,3
8:03,207.79,10
8:03,208.34,9
8:03,208.52,6
8:03,209.24,14
8:03,212.28,19
8:03,212.5,0
8:03,213.16,19
8:03,213.56,1
8:03,217.44,16
8:03,217.7,2
8:03,217.8,13
8:03,218.3,0
8:03,219.14,4
8:03,219.67,0
8:03,219.9,2
8:03,224.38,2
8:03,224.88,18
8:03,225.15,0
8:03,226.93,6
8:03,228.17,15
8:03,228.88,17
8:03,229.91,6
8:03,230.43,5
8:03,234.06,8
8:03,234.33,12
8:03,237.48,3
8:03,238.19,16
8:03,238.86,16
8:04,240.41,10
8:04,246.7,18
8:04,247.22,0
8:04,248.07,7
8:04,249.64,3
8:04,252.32,9
8:04,256.18,7
8:04,256.37,1
8:04,260.06,13
8:04,264.79,13
8:04,264.87,4
8:04,265.57,0
8:04,266.74,19
8:04,267.49,13
8:04,267.7,9
8:04,270.89,5
8:04,273.44,10
8:04,274.96,16
8:04,275.71,8
8:04,275.96,13
8:04,276.26,11
8:04,279.51,2
8:04,280.02,14
8:04,281.57,19
8:04,283.07,7
8:04,284.09,19
8:04,284.26,10
8:04,287.59,15
8:04,289.06,7
8:04,289.75,13
8:04,290.1,16
8:04,292,11
8:04,295.12,15
8:04,296.15,17
8:04,297.64,5
8:04,298.21,3
8:04,298.32,1
8:04,298.68,15
8:04,298.69,18
8:04,298.74,5
8:04,299.39,12
8:05,300.85,4
8:05,301.04,17
8:05,301.36,17
8:05,301.37,9
8:05,303.16,8
8:05,303.29,11
8:05,303.3,7
8:05,303.55,7
8:05,304.15,19
8:05,305.4,19
8:05,306.97,0
8:05,308.27,9
8:05,310.65,4
8:05,314.44,19
8:05,314.55,8
8:05,314.95,8
8:05,315.3,19
8:05,315.85,11
8:05,316.83,4
8:05,322.4,5
8:05,323.17,12
8:05,326.04,9
8:05,326.89,6
8:05,327.9,18
8:05,328.82,3
8:05,328.84,2
8:05,329.81,15
8:05,330.81,6
8:05,331.04,6
8:05,333.13,12
8:05,334.55,18
8:05,335.58,15
8:05,337.22,1
8:05,337.78,9
8:05,338.3,19
8:05,339.8,15
8:05,340.38,7
8:05,341.84,11
8:05,342.13,4
8:05,342.7,18
8:05,344.12,10
8:05,344.52,2
8:05,345.33,4
8:05,345.38,8
8:05,348.79,10
8:05,350.72,17
8:05,352.09,14
8:05,354.54,18
8:05,354.75,3
8:05,357.25,4
8:06,361.76,3
8:06,362.34,2
8:06,364.04,12
8:06,364.13,16
8:06,364.36,10
8:06,364.97,14
8:06,365.37,16
8:06,366.22,9
8:06,369.09,16
8:06,369.51,7
8:06,371.4,16
8:06,373.86,7
8:06,378.17,11
8:06,378.39,0
8:06,380.85,17
8:06,381.9,3
8:06,382.97,7
8:06,383.29,19
8:06,384.16,9
8:06,384.42,3
8:06,385.02,17
8:06,385.08,8
8:06,385.97,12
8:06,386.07,1
8:06,387.05,8
8:06,389.25,7
8:06,389.46,2
8:06,389.52,4
8:06,392.04,6
8:06,393.01,3
8:06,393.23,4
8:06,393.88,7
8:06,396.95,3
8:06,396.99,7
8:06,397.76,8
8:06,398.83,4
8:06,399.27,7
8:06,401.22,7
8:06,402.98,8
8:06,403.51,12
8:06,405.37,13
8:06,405.94,6
8:06,412.59,5
8:06,414.27,6
8:06,414.44,11
8:06,415.96,17
8:06,416.83,5
8:06,417.45,3
8:06,417.76,4
8:06,417.97,15
8:06,418.88,6
8:06,419.29,8
8:07,422.18,1
8:07,422.89,18
8:07,424.01,8
8:07,425.23,5
8:07,425.46,3
8:07,425.96,16
8:07,426.58,14
8:07,427.55,9
8:07,427.63,9
8:07,428.51,10
8:07,428.75,16
8:07,430.08,9
8:07,431.57,15
8:07,432.27,19
8:07,432.88,3
8:07,433.43,6
8:07,434,19
8:07,436.92,10
8:07,437.38,11
8:07,437.88,6
8:07,438.02,12
8:07,438.28,9
8:07,439.85,10
8:07,439.99,5
8:07,440.67,9
8:07,441.13,17
8:07,442.99,15
8:07,443.69,1
8:07,444.55,5
8:07,446.13,0
8:07,446.58,19
8:07,447.86,15
8:07,448.14,17
8:07,449.56,13
8:07,449.86,7
8:07,450.23,11
8:07,451.82,4
8:07,454.43,16
8:07,454.78,9
8:07,456,3
8:07,457.04,18
8:07,458.15,18
8:07,459.3,16
8:07,459.71,15
8:07,460.13,1
8:07,462.48,3
8:07,462.5,17
8:07,463.06,2
8:07,463.14,19
8:07,463.55,8
8:07,463.96,10
8:07,465.19,15
8:07,466.35,16
8:07,469.27,14
8:07,475.6,14
8:07,476.43,13
8:07,477.18,15
8:07,478.59,4
8:08,480.84,5
8:08,482.14,16
8:08,484.15,0
8:08,484.31,12
8:08,486.11,10
8:08,486.31,7
8:08,487.78,7
8:08,487.95,4
8:08,488.49,3
8:08,491.66,15
8:08,492.52,5
8:08,496.97,3
8:08,497.77,1
8:08,498.78,14
8:08,501.08,17
8:08,501.75,6
8:08,505.79,16
8:08,507.19,5
8:08,507.82,7
8:08,508.18,16
8:08,509.68,12
8:08,510.05,13
8:08,512.55,3
8:08,512.59,16
8:08,512.64,19
8:08,512.93,10
8:08,517.52,18
8:08,517.82,8
8:08,518.01,13
8:08,524.14,13
8:08,525.19,1
8:08,525.36,0
8:08,526.63,17
8:08,527.78,8
8:08,534.68,8
8:08,535.33,12
8:08,539.85,3
8:09,542.75,10
8:09,542.79,4
8:09,543.83,16
8:09,544.73,4
